,,loss,loss,accuracy,accuracy,val_loss,val_loss,val_accuracy,val_accuracy,val_f1,val_f1,val_recall,val_recall,val_precision,val_precision,epoch,epoch
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,resolution,,,,,,,,,,,,,,,,
PrPo_Im,64,0.63,0.0,1.0,0.0,1.0,0.21,0.92,0.01,0.91,0.01,0.91,0.02,0.92,0.01,20,0.0
PrPo_Im,128,0.64,0.01,1.0,0.0,1.35,0.24,0.92,0.01,0.91,0.01,0.9,0.01,0.92,0.01,20,0.0
PrPo_Im,224,0.61,0.01,1.0,0.0,0.71,0.08,0.91,0.01,0.91,0.01,0.9,0.01,0.91,0.01,20,0.0
Pr_Im,64,0.56,0.0,1.0,0.0,0.84,0.23,0.94,0.01,0.92,0.02,0.91,0.02,0.94,0.01,20,0.0
Pr_Im,128,0.54,0.01,1.0,0.0,0.66,0.05,0.95,0.01,0.93,0.02,0.93,0.02,0.95,0.01,20,0.0
Pr_Im,224,0.53,0.01,1.0,0.0,0.81,0.17,0.94,0.01,0.92,0.01,0.91,0.01,0.94,0.01,20,0.0
Pr_PoIm,64,0.61,0.01,0.99,0.0,2.12,0.68,0.88,0.01,0.81,0.02,0.82,0.02,0.9,0.03,20,0.0
Pr_PoIm,128,0.52,0.01,0.99,0.0,0.67,0.07,0.91,0.01,0.85,0.02,0.86,0.01,0.91,0.01,20,0.0
Pr_PoIm,224,0.62,0.0,1.0,0.0,3.7,2.03,0.88,0.01,0.79,0.01,0.8,0.01,0.91,0.01,20,0.0
Pr_Po_Im,64,1.02,0.01,0.98,0.01,1.75,0.49,0.82,0.03,0.74,0.03,0.75,0.02,0.78,0.03,20,0.0
Pr_Po_Im,128,0.92,0.03,0.99,0.0,1.74,0.76,0.84,0.02,0.76,0.03,0.76,0.02,0.82,0.05,20,0.0
Pr_Po_Im,224,0.89,0.01,0.99,0.0,1.03,0.04,0.83,0.01,0.74,0.02,0.73,0.02,0.84,0.04,20,0.0
